#Name, Period(days), Distance(kpc), V(mag), J(mag), H(mag), K(mag), E(mag), Z([Fe/H])
CR Ori, 4.911, 6.238, 12.340, 9.705, 9.294, 9.114, 0.527, -0.220
CS Ori, 3.889, 3.871, 11.390, 9.344, 8.943, 8.828, 0.373, -0.250
CS Vel, 5.905, 6.064, 11.700, 8.838, 8.232, 8.018, 0.716, 0.090
CU Mon, 4.708, 8.453, 13.610, 10.595, 10.007, 9.762, 0.744, -0.260
CV Mon, 5.379, 2.073, 10.310, 7.313, 6.768, 6.565, 0.705, 0.090
CX Vel, 6.255, 3.082, 11.380, 8.309, 7.769, 7.517, 0.703, 0.130
CY Aur, 13.848, 6.154, 11.850, 8.580, 7.945, 7.744, 0.787, -0.150
CY Car, 4.266, 2.672, 9.740, 7.949, 7.565, 7.430, 0.409, 0.080
CY Cas, 14.377, 4.124, 11.630, 7.850, 7.160, 6.938, 0.952, 0.120
DD Cas, 9.812, 4.525, 9.880, 7.533, 7.055, 6.924, 0.486, 0.160
del Cep, 5.366, 0.265, 3.950, 2.696, 2.381, 2.313, 0.075, 0.090
DF Cas, 3.833, 3.257, 10.880, 8.488, 8.036, 7.879, 0.564, 0.190
DK Vel, 2.482, 4.792, 10.690, 8.820, 8.496, 8.386, 0.283, 0.130
DL Cas, 8.001, 2.369, 8.970, 6.556, 6.089, 5.929, 0.487, 0.050
DR Vel, 11.199, 2.557, 9.520, 6.374, 5.947, 5.447, 0.681, 0.130
DT Cyg, 2.499, 0.586, 5.780, 4.710, 4.470, 4.430, 0.063, 0.160
DX Gem, 3.138, 5.173, 10.740, 8.759, 8.336, 8.207, 0.434, -0.010
DY Car, 4.675, 7.283, 11.320, 9.160, 8.729, 8.563, 0.402, 0.040
EE Mon, 4.809, 7.052, 13.010, 10.866, 10.309, 10.094, 0.459, -0.550
EF Tau, 3.448, 0.707, 13.090, 10.876, 10.402, 10.249, 0.360, -0.680
EK Mon, 3.958, 3.272, 11.070, 8.516, 8.051, 7.792, 0.547, 0.090
ER Aur, 15.691, 1.471, 11.510, 9.069, 8.589, 8.447, 0.462, -0.300
ER Car, 7.718, 1.257, 6.820, 5.360, 5.020, 4.899, 0.111, 0.120
eta Aql, 7.177, 0.424, 3.900, 2.407, 2.049, 1.966, 0.143, 0.140
EU Tau, 2.102, 1.242, 8.080, 6.691, 6.360, 6.254, 0.173, 0.120
EV Sct, 3.091, 2.012, 10.130, 7.666, 7.170, 7.028, 0.623, 0.090
EW Aur, 2.660, 5.612, 13.530, 11.232, 10.755, 10.592, 0.576, -0.570
EW Sct, 5.824, 0.487, 7.990, 4.314, 3.726, 3.466, 1.060, 0.100
EX Vel, 13.234, 10.571, 11.580, 8.365, 7.733, 7.553, 0.728, 0.040
FF Aql, 4.471, 0.553, 5.370, 3.860, 3.570, 3.480, 0.196, 0.100
FG Mon, 4.497, 7.837, 13.260, 10.513, 9.976, 9.743, 0.643, -0.170
FG Vel, 6.453, 3.634, 11.830, 8.509, 7.961, 7.719, 0.842, -0.010
FI Car, 13.458, 4.916, 11.630, 8.350, 7.797, 7.502, 0.694, 0.280
FI Mon, 3.288, 7.225, 12.950, 10.425, 9.939, 9.733, 0.507, -0.140
FM Aql, 6.114, 1.075, 8.270, 5.664, 5.198, 5.044, 0.635, 0.210
FM Cas, 5.809, 2.789, 9.130, 7.141, 6.736, 6.619, 0.329, -0.030
FN Aql, 9.482, 1.449, 8.380, 5.947, 5.473, 5.328, 0.486, -0.090
FN Vel, 5.324, 4.824, 10.290, 7.686, 7.264, 7.067, 0.588, 0.120
FO Cas, 6.799, 14.903, 14.300, 11.136, 10.529, 10.267, 0.755, -0.590
FR Car, 10.717, 3.357, 9.660, 7.505, 6.965, 6.791, 0.332, 0.080
GH Car, 5.726, 2.815, 9.160, 7.016, 6.872, 6.603, 0.335, 0.190
GH Lup, 9.277, 1.185, 7.630, 5.491, 4.959, 4.813, 0.328, 0.130
GP Per, 2.042, 5.907, 13.900, 11.590, 11.124, 11.001, 0.625, -0.830
GQ Ori, 8.616, 2.582, 8.960, 7.090, 6.746, 6.611, 0.224, 0.250
GU Nor, 3.453, 1.830, 10.350, 7.689, 7.189, 6.961, 0.683, 0.080
GV Aur, 5.260, 4.623, 12.050, 9.493, 9.011, 8.811, 0.546, -0.240
GX Car, 7.197, 2.815, 9.340, 7.197, 6.763, 6.555, 0.380, 0.110
HQ Car, 14.067, 7.022, 12.380, 10.791, 10.348, 10.185, 0.414, -0.100
HQ Per, 8.638, 9.355, 11.600, 9.179, 8.626, 8.465, 0.537, -0.380
HW Car, 9.199, 3.045, 9.130, 7.239, 6.814, 6.663, 0.181, 0.060
HW Pup, 13.454, 16.584, 12.090, 9.468, 8.914, 8.716, 0.622, -0.220
IN Aur, 4.911, 29.586, 13.820, 10.458, 9.904, 9.693, 0.891, -0.310
IO Car, 13.596, 6.242, 11.150, 8.649, 8.133, 7.940, 0.530, 0.100
IO Cas, 5.604, 66.667, 13.670, 11.082, 10.612, 10.503, 0.472, -0.520
IR Cep, 2.114, 0.883, 7.790, 5.907, 5.593, 5.454, 0.408, 0.110
IT Car, 7.533, 1.421, 8.110, 6.309, 5.924, 5.779, 0.212, 0.110
KK Cen, 12.180, 10.081, 11.470, 8.713, 8.117, 7.955, 0.555, 0.210
KN Cen, 34.020, 5.277, 9.850, 6.515, 5.755, 5.489, 0.728, 0.550
KQ Sco, 28.705, 1.985, 9.820, 6.024, 5.215, 4.945, 0.852, 0.520
l Car, 35.552, 0.478, 3.700, 1.766, 1.211, 1.092, 0.153, 0.240
LR TrA, 2.428, 1.125, 7.810, 6.145, 6.020, 5.657, 0.190, 0.280
LS Pup, 14.147, 6.711, 10.440, 8.093, 7.517, 7.354, 0.452, -0.120
MM Per, 4.118, 4.307, 10.800, 8.666, 8.249, 8.124, 0.484, -0.100
MW Cyg, 5.955, 1.434, 9.460, 6.692, 6.194, 6.021, 0.651, 0.150
MY Pup, 5.695, 0.793, 5.650, 4.333, 4.050, 3.950, 0.105, -0.110
MZ Cen, 10.354, 6.925, 11.560, 8.404, 7.883, 7.513, 0.782, 0.270
NT Pup, 15.560, 7.189, 12.160, 9.149, 8.445, 8.261, 0.670, -0.050
NY Cas, 2.823, 18.762, 13.330, 11.398, 10.985, 10.850, 0.328, -0.490
OT Per, 26.091, 7.855, 13.500, 8.712, 7.899, 7.598, 1.355, -0.100
QY Cen, 17.752, 3.119, 11.780, 7.374, 6.596, 6.242, 1.213, 0.210
QZ Nor, 3.786, 2.108, 8.870, 7.137, 6.734, 6.622, 0.289, 0.210
R Cru, 5.826, 0.505, 6.760, 5.260, 4.931, 4.810, 0.156, 0.100
R Mus, 7.510, 1.000, 6.310, 4.904, 4.577, 4.465, 0.149, -0.110
R TrA, 3.389, 0.678, 6.650, 5.323, 4.975, 4.826, 0.167, 0.160
RR Lac, 6.416, 3.096, 8.850, 6.982, 6.609, 6.506, 0.267, 0.010
RS Ori, 7.567, 1.886, 8.410, 6.411, 6.009, 5.898, 0.332, 0.110
RS Pup, 41.443, 1.711, 7.010, 4.431, 3.814, 3.633, 0.451, 0.210
RT Aur, 3.728, 0.409, 5.450, 4.246, 3.977, 3.920, 0.059, 0.100
RT Mus, 3.086, 1.469, 8.990, 7.117, 6.816, 6.651, 0.322, 0.090
RU Sct, 19.703, 2.322, 9.470, 5.886, 5.274, 5.069, 0.914, 0.140
RV Sco, 6.061, 0.441, 7.030, 5.120, 4.815, 4.600, 0.343, 0.080
RW Cam, 16.414, 0.666, 8.680, 5.819, 5.276, 5.113, 0.592, 0.080
RW Cas, 14.795, 2.894, 9.230, 6.836, 6.354, 6.212, 0.440, 0.280
RX Aur, 11.623, 1.842, 7.670, 5.741, 5.346, 5.250, 0.254, 0.070
RX Cam, 7.912, 1.278, 7.680, 5.169, 4.714, 4.577, 0.546, 0.080
RY Cas, 12.137, 3.132, 9.950, 7.063, 6.537, 6.347, 0.635, 0.320
RY CMa, 4.678, 1.622, 8.110, 6.379, 6.031, 5.912, 0.238, 0.140
RY Sco, 20.323, 1.254, 8.000, 4.998, 4.365, 4.143, 0.654, 0.010
RY Vel, 28.136, 1.639, 8.370, 5.702, 5.122, 4.928, 0.539, 0.090
RZ CMa, 4.255, 2.034, 9.700, 7.406, 7.110, 6.882, 0.475, -0.060
RZ Gem, 5.529, 3.914, 10.020, 7.607, 7.153, 6.987, 0.495, -0.160
RZ Vel, 20.398, 1.829, 7.080, 4.979, 4.460, 4.308, 0.301, 0.190
S Cru, 4.690, 0.979, 6.600, 5.001, 4.795, 4.631, 0.172, 0.080
S Mus, 9.660, 0.884, 6.130, 4.553, 4.125, 4.016, 0.201, 0.210
S Nor, 9.754, 0.942, 6.420, 4.729, 4.274, 4.161, 0.182, 0.100
S Sge, 8.382, 1.556, 5.610, 4.171, 3.831, 3.748, 0.120, 0.140
S TrA, 6.324, 0.930, 6.380, 4.956, 4.725, 4.551, 0.086, 0.180
SS Sct, 3.671, 1.095, 8.200, 6.299, 5.918, 5.818, 0.340, 0.110
ST Tau, 4.034, 1.232, 8.220, 6.283, 5.893, 5.784, 0.328, 0.000
ST Vel, 5.858, 2.455, 9.700, 7.244, 6.734, 6.538, 0.530, 0.000
SU Cas, 1.949, 0.472, 5.970, 4.479, 4.198, 4.121, 0.271, 0.120
SU Cyg, 3.845, 0.855, 6.860, 5.652, 5.380, 5.307, 0.125, 0.030
SV Mon, 15.233, 3.643, 8.260, 6.260, 5.817, 5.704, 0.264, 0.120
SV Per, 11.129, 29.412, 8.980, 6.798, 6.342, 6.214, 0.324, 0.030
S Vul, 68.464, 3.279, 8.970, 5.410, 4.806, 4.586, 0.735, 0.090
SV Vel, 14.097, 2.462, 8.590, 6.370, 5.944, 5.769, 0.376, 0.090
SV Vul, 44.993, 2.682, 7.230, 4.552, 4.051, 3.905, 0.474, 0.110
SW Cas, 5.441, 2.424, 9.710, 7.410, 6.971, 6.838, 0.475, 0.030
SW Vel, 23.407, 3.873, 8.120, 5.934, 5.393, 5.233, 0.338, -0.010
SX Car, 4.860, 2.052, 9.090, 7.222, 6.853, 6.752, 0.323, 0.020
SX Vel, 9.550, 2.447, 8.290, 6.554, 6.119, 6.001, 0.237, -0.040
SY Aur, 10.145, 3.192, 9.070, 6.925, 6.514, 6.386, 0.386, 0.070
SY Cas, 4.071, 2.509, 9.880, 7.830, 7.438, 7.325, 0.449, 0.100
SY Nor, 12.645, 2.499, 9.500, 6.638, 6.091, 5.864, 0.611, 0.230
SZ Aql, 17.141, 2.375, 8.630, 5.839, 5.325, 5.158, 0.553, 0.240
SZ Cas, 13.639, 2.739, 9.840, 6.781, 6.291, 6.076, 0.713, 0.040
SZ Cyg, 15.110, 2.765, 9.430, 6.515, 5.944, 5.745, 0.594, 0.150
SZ Tau, 3.149, 0.700, 6.530, 4.831, 4.408, 4.311, 0.306, 0.150
T Ant, 5.898, 3.420, 9.340, 8.112, 7.667, 7.572, 0.300, -0.230
T Cru, 6.733, 0.877, 6.560, 4.941, 4.541, 4.407, 0.191, 0.110
T Mon, 27.025, 1.876, 6.130, 4.077, 3.610, 3.496, 0.208, 0.040
TT Aql, 13.755, 1.126, 7.130, 4.642, 4.162, 4.035, 0.487, 0.190
TU Cas, 2.139, 1.093, 7.750, 6.681, 6.441, 6.331, 0.100, 0.090
TV Cam, 5.295, 12.285, 11.690, 9.345, 8.822, 8.653, 0.560, 0.010
T Vel, 4.640, 1.174, 8.030, 6.225, 5.768, 5.642, 0.282, -0.160
T Vul, 4.435, 0.597, 5.750, 4.551, 4.257, 4.189, 0.092, 0.070
TW CMa, 6.995, 3.627, 9.560, 7.579, 7.167, 7.046, 0.374, 0.040
TW Mon, 7.097, 5.727, 12.570, 9.709, 9.137, 8.904, 0.654, -0.130
TW Nor, 10.786, 2.853, 11.670, 7.523, 6.698, 6.391, 1.190, 0.270
TX Cyg, 14.710, 1.281, 9.510, 5.312, 4.616, 4.341, 1.123, 0.260
TX Del, 6.166, 1.023, 9.145, 7.951, 7.570, 7.465, 0.222, 0.290
TX Mon, 8.702, 4.869, 10.960, 8.576, 8.102, 7.959, 0.473, -0.030
TZ Mon, 7.428, 5.211, 10.790, 8.454, 7.993, 7.832, 0.434, -0.020
TZ Mus, 4.945, 4.895, 11.690, 8.944, 8.405, 8.180, 0.676, 0.070
U Car, 38.829, 2.088, 6.250, 4.193, 3.669, 3.521, 0.276, 0.250
U Nor, 12.644, 1.635, 9.230, 5.930, 5.237, 4.990, 0.868, 0.150
U Sgr, 6.745, 0.685, 6.690, 4.516, 4.088, 3.949, 0.408, 0.140
UU Mus, 11.636, 3.785, 9.780, 7.530, 6.990, 6.828, 0.431, 0.190
U Vul, 7.991, 0.950, 7.130, 4.515, 4.074, 3.928, 0.598, 0.160
UW Car, 5.346, 3.801, 9.430, 7.356, 6.947, 6.760, 0.428, 0.060
UX Car, 3.682, 1.783, 8.300, 6.854, 6.869, 6.575, 0.102, 0.040
UX Per, 4.566, 4.425, 11.630, 9.577, 9.171, 9.009, 0.462, -0.080
UY Car, 5.544, 4.425, 8.960, 7.248, 6.887, 6.821, 0.188, 0.100
UY Mon, 2.398, 3.600, 9.410, 8.175, 7.958, 7.897, 0.102, -0.190
UZ Car, 5.205, 2.675, 9.330, 7.646, 7.257, 7.110, 0.213, 0.100
UZ Sct, 14.744, 3.327, 11.250, 7.395, 6.735, 6.496, 0.959, 0.330
V1154 Cyg, 4.926, 2.419, 9.170, 7.457, 7.094, 6.964, 0.315, -0.040
V1162 Aql, 5.376, 1.355, 7.790, 6.150, 5.802, 5.701, 0.184, 0.070
V1334 Cyg, 3.333, 0.869, 5.860, 5.170, 4.664, 4.460, 0.025, 0.090
V1359 Aql, 96.290, 0.244, 9.270, 6.523, 5.824, 5.485, 0.652, 0.250
V1726 Cyg, 4.236, 2.875, 9.000, 7.181, 6.836, 6.699, 0.293, 0.040
V0335 Aur, 3.413, 4.303, 12.460, 9.869, 9.386, 9.232, 0.619, -0.330
V0335 Pup, 4.861, 2.847, 8.700, 6.897, 6.819, 6.600, 0.177, 0.060
V0339 Cen, 9.466, 2.018, 8.700, 6.359, 5.907, 5.748, 0.426, 0.060
V0340 Ara, 20.814, 4.037, 10.200, 7.302, 6.754, 6.534, 0.548, 0.330
V0340 Nor, 11.289, 1.934, 8.370, 6.271, 5.731, 5.586, 0.312, 0.070
V0350 Sgr, 5.154, 1.014, 7.470, 5.630, 5.230, 5.140, 0.308, 0.240
V0351 Cep, 2.806, 2.017, 9.450, 7.513, 7.140, 7.029, 0.436, 0.070
V0367 Sct, 6.293, 2.379, 11.610, 7.681, 6.941, 6.662, 1.145, 0.050
V0378 Cen, 6.460, 1.796, 8.480, 6.328, 5.909, 5.743, 0.374, 0.050
V0379 Cas, 4.306, 1.964, 9.120, 6.816, 6.362, 6.217, 0.600, 0.120
V0381 Cen, 5.079, 1.189, 7.670, 6.143, 5.822, 5.703, 0.206, -0.010
V0386 Cyg, 5.258, 1.116, 9.630, 6.359, 5.793, 5.560, 0.907, 0.170
V0397 Car, 2.063, 1.166, 8.320, 6.857, 6.533, 6.404, 0.223, 0.060
V0402 Cyg, 4.365, 2.504, 9.880, 7.811, 7.400, 7.285, 0.455, 0.080
V0419 Cen, 5.507, 3.065, 8.190, 6.522, 6.461, 6.215, 0.159, 0.140
V0440 Per, 7.570, 1.135, 6.280, 5.072, 4.598, 4.180, 0.258, 0.020
V0465 Mon, 2.714, 4.305, 10.370, 8.770, 8.429, 8.354, 0.247, -0.070
V0473 Lyr, 1.491, 0.453, 6.140, 5.470, 4.700, 4.549, 0.046, -0.090
V0482 Sco, 4.528, 1.086, 7.960, 5.999, 5.645, 5.511, 0.359, 0.170
V0484 Mon, 3.135, 16.077, 13.730, 10.968, 10.533, 10.302, 0.667, -0.090
V0495 Mon, 4.097, 4.963, 12.440, 9.834, 9.339, 9.222, 0.602, -0.130
V0496 Aql, 6.807, 1.060, 7.750, 5.560, 5.120, 5.010, 0.426, 0.110
V0496 Cen, 4.424, 2.241, 9.950, 7.424, 6.977, 6.784, 0.579, 0.060
V0500 Sco, 9.317, 1.434, 8.730, 6.188, 5.628, 5.400, 0.567, -0.070
V0504 Mon, 2.775, 7.429, 11.810, 9.713, 9.258, 9.071, 0.531, -0.020
V0508 Mon, 4.134, 8.019, 10.500, 8.643, 8.266, 8.174, 0.310, -0.040
V0510 Mon, 7.457, 10.917, 12.640, 9.507, 8.898, 8.648, 0.797, -0.160
V0526 Mon, 2.675, 2.386, 8.620, 7.314, 7.075, 6.962, 0.087, -0.200
V0532 Cyg, 3.284, 1.781, 9.090, 6.863, 6.393, 6.250, 0.519, 0.020
V0600 Aql, 7.239, 1.805, 10.030, 6.876, 6.366, 6.146, 0.812, 0.090
V0636 Cas, 8.377, 0.771, 7.170, 4.899, 4.158, 4.059, 0.593, 0.130
V0636 Sco, 6.797, 1.024, 6.650, 4.908, 4.537, 4.398, 0.227, 0.070
V0659 Cen, 5.623, 2.067, 6.620, 5.177, 4.907, 4.651, 0.151, 0.060
V0733 Aql, 6.179, 3.329, 9.970, 8.333, 7.936, 7.851, 0.106, 0.140
V0737 Cen, 7.066, 0.985, 6.730, 4.951, 4.573, 4.432, 0.227, 0.110
V0924 Cyg, 5.572, 20.833, 10.710, 8.963, 8.654, 8.511, 0.243, -0.030
V0950 Sco, 3.380, 1.191, 7.310, 5.729, 5.425, 5.295, 0.251, 0.180
V Car, 6.697, 1.315, 7.370, 5.805, 5.388, 5.285, 0.164, 0.080
V Cen, 5.494, 0.746, 6.820, 5.074, 4.628, 4.508, 0.265, 0.120
V Lac, 4.984, 2.290, 8.940, 7.049, 6.656, 6.569, 0.293, 0.030
V Vel, 4.371, 1.097, 7.590, 5.918, 5.796, 4.990, 0.225, 0.000
VW Cen, 15.036, 4.545, 10.280, 7.655, 7.014, 6.819, 0.424, 0.410
VW Cru, 5.265, 1.277, 9.600, 6.805, 6.261, 6.051, 0.640, 0.160
VW Pup, 4.285, 5.889, 11.380, 9.008, 8.514, 8.360, 0.499, -0.140
VX Cyg, 20.133, 2.861, 10.070, 6.689, 6.065, 5.875, 0.836, 0.150
VX Per, 10.889, 3.032, 9.310, 6.886, 6.427, 6.277, 0.478, 0.030
VX Pup, 3.012, 1.581, 8.310, 7.016, 6.760, 6.207, 0.128, -0.010
VY Car, 18.890, 1.953, 7.460, 5.463, 4.944, 4.804, 0.270, 0.080
VY Cyg, 7.857, 2.240, 9.580, 7.005, 6.536, 6.374, 0.596, 0.060
VY Sgr, 13.557, 2.567, 11.450, 7.156, 6.385, 6.042, 0.903, 0.330
VZ CMa, 3.126, 1.943, 9.410, 7.106, 6.806, 6.625, 0.446, 0.000
VZ Cyg, 4.864, 2.299, 8.960, 7.202, 6.841, 6.737, 0.291, 0.110
VZ Pup, 23.175, 7.236, 9.670, 7.370, 6.828, 6.668, 0.433, -0.010
W Gem, 7.914, 1.137, 6.960, 5.133, 4.757, 4.671, 0.264, -0.010
W Sgr, 7.595, 0.848, 4.670, 3.323, 2.965, 2.801, 0.109, 0.080
WW Car, 4.677, 2.666, 9.750, 7.723, 7.338, 7.186, 0.384, -0.030
WW Mon, 4.662, 6.901, 12.510, 9.971, 9.495, 9.370, 0.566, -0.180
WW Pup, 5.517, 7.893, 10.600, 8.653, 8.274, 8.131, 0.334, 0.130
WX Pup, 8.937, 2.988, 9.060, 7.035, 6.710, 6.516, 0.306, -0.010
WZ Car, 23.018, 3.526, 9.260, 7.008, 6.456, 6.290, 0.356, 0.060
WZ Sgr, 21.851, 1.949, 8.020, 5.258, 4.740, 4.573, 0.457, 0.280
X Cru, 6.220, 1.910, 8.400, 6.521, 6.125, 6.001, 0.294, 0.120
X Cyg, 16.386, 1.113, 6.390, 4.396, 3.951, 3.821, 0.251, 0.160
X Lac, 5.445, 2.017, 8.410, 6.506, 6.128, 6.007, 0.310, 0.050
X Pup, 25.973, 3.311, 8.510, 6.180, 5.600, 5.430, 0.396, 0.020
X Sgr, 7.013, 0.291, 4.560, 3.021, 2.620, 2.522, 0.189, -0.210
X Vul, 6.320, 1.189, 8.850, 5.915, 5.412, 5.231, 0.775, 0.130
XX Car, 15.716, 3.765, 9.350, 7.046, 6.897, 6.426, 0.351, 0.170
XX Cen, 10.953, 1.861, 7.820, 5.992, 5.530, 5.407, 0.245, 0.120
XX Mon, 5.457, 4.355, 11.920, 9.402, 8.903, 8.699, 0.586, 0.010
XX Sgr, 6.424, 1.424, 8.870, 6.400, 5.940, 5.800, 0.493, -0.010
XX Vel, 6.985, 4.352, 10.710, 8.246, 7.767, 7.574, 0.530, 0.080
XY Car, 12.435, 3.035, 9.290, 6.960, 6.440, 6.100, 0.395, 0.040
XY Cas, 4.502, 2.479, 9.970, 7.746, 7.325, 7.194, 0.517, 0.070
XZ Car, 16.650, 2.358, 8.600, 6.351, 5.736, 5.110, 0.372, 0.160
XZ CMa, 2.558, 5.507, 12.970, 10.970, 10.558, 10.390, 0.266, -0.260
Y Aur, 3.860, 1.906, 9.630, 7.664, 7.276, 7.151, 0.384, -0.120
Y Lac, 4.324, 2.479, 9.150, 7.631, 7.299, 7.219, 0.212, 0.000
Y Oph, 17.125, 0.735, 6.171, 3.437, 2.868, 2.682, 0.606, 0.120
Y Sgr, 5.773, 0.379, 5.750, 4.070, 3.690, 3.600, 0.203, 0.110
YZ Aur, 18.193, 5.800, 10.350, 7.484, 6.892, 6.705, 0.548, -0.190
YZ Car, 18.168, 3.121, 8.710, 6.394, 6.025, 5.776, 0.324, -0.030
YZ Sgr, 9.554, 1.303, 7.330, 5.378, 4.989, 4.878, 0.289, 0.120
zet Gem, 10.150, 0.422, 3.920, 2.615, 2.203, 2.132, 0.041, -0.110
Z Lac, 10.886, 2.186, 8.420, 6.221, 5.792, 5.668, 0.352, 0.070
Z Sct, 12.901, 2.438, 9.590, 6.954, 6.465, 6.300, 0.535, 0.120
Y Car, 3.640, 3.321, 8.140, 6.727, 6.573, 6.351, 0.157, -0.060
EY Car, 2.876, 3.026, 10.380, 8.352, 7.953, 7.808, 0.386, -0.180
GZ Car, 4.159, 2.895, 10.280, 8.126, 7.698, 7.528, 0.290, -0.080
UZ Cen, 3.334, 1.609, 8.750, 7.141, 6.855, 6.741, 0.265, -0.200
BK Cen, 3.174, 2.984, 10.210, 8.375, 7.947, 7.738, 0.371, 0.060
V0458 Sct, 3.385, 2.040, 9.790, 7.329, 6.697, 6.649, 0.585, 0.080
U TrA, 2.568, 1.140, 7.950, 6.348, 6.351, 6.335, 0.164, -0.160
