#FILENAME= 'hlsp_exo_kepler_phot_KPLR8191672_kep_v1.0_dtr.txt'
#TARGNAME= 'KPLR8191672'
#TELESCOP= 'Kepler'            / Telescope used for observation
#INSTRUME= 'Photometer'        / Instrument used for observation
#RA_TARG =           299.40700 / [deg] target right ascension (J2000)
#DEC_TARG=            44.03503 / [deg] target declination (J2000)
#RMAGTARG=              13.321 / target r magnitude from KIC
#G-R_TARG=               0.562 / target g-r magnitude from KIC
#DATEMIN =      2454953.538373 / earliest observation date
#DATEMAX =      2454997.983269 / latest observation date
#CAD_TIME=           1765.4976 / [s] median time between samples
#TIME_FIL=             0.96596 / fraction of time interval with observations
#FLUXRMS =          1.3759e-04 / rms of sigma-clipped detrended normalized flux
# 
#NPTS    =                2102 / number of time samples
#COLUMN_1= 'HJD'               / Heliocentric Julian Date
#COLUMN_2= 'Detr_Norm_Flux'    / detrended normalized flux in Kepler bandpass
# 
2454959.586966   1.000045
2454959.607401   1.000002
2454959.627834   1.000000
2454959.648268   0.999876
2454959.668703   1.000073
2454959.689138   0.999999
2454959.709573   0.999957
2454959.730007   0.999755
2454959.750441   0.999540
2454959.770875   0.999919
2454959.791310   1.000066
2454959.811744   0.999936
2454959.832179   0.999656
2454959.852614   1.000061
2454959.873048   1.000104
2454959.893482   0.999855
2454959.913916   0.999929
2454959.934351   1.000024
2454959.954786   0.999990
2454959.975220   0.999683
2454959.995655   0.999958
2454960.016088   1.000090
2454960.036523   1.000005
2454960.056958   0.999793
2454960.077392   0.999825
2454960.097827   1.000063
2454960.118261   1.000021
2454960.138695   1.000042
2454960.159130   0.999955
2454960.179564   1.000074
2454960.199999   1.000166
2454960.220434   1.000129
2454960.240868   1.000022
2454960.261301   1.000119
2454960.281736   0.999962
2454960.302171   0.999934
2454960.322605   0.999679
2454960.343040   1.000247
2454960.363474   1.000118
2454960.383908   1.000007
2454960.404343   0.999835
2454960.424777   1.000002
2454960.445212   0.999994
2454960.465647   0.999676
2454960.486081   0.999753
2454960.506516   0.999634
2454960.526949   1.000073
2454960.547384   0.999925
2454960.567819   0.999831
2454960.588253   0.999939
2454960.608687   1.000175
2454960.629122   1.000042
2454960.649556   0.999830
2454960.669991   0.999840
2454960.690425   0.999979
2454960.710860   0.999932
2454960.731294   0.999797
2454960.751729   1.000060
2454960.772162   0.999951
2454960.792597   0.999933
2454960.813032   0.999975
2454960.833466   0.999842
2454960.853901   0.999960
2454960.874335   0.999959
2454960.894769   0.999632
2454960.915204   0.999863
2454960.935638   0.999956
2454960.956073   0.999930
2454960.976507   1.000025
2454960.996942   0.999976
2454961.017376   1.000184
2454961.037810   0.999997
2454961.058245   0.999974
2454961.078680   1.000081
2454961.099114   0.999639
2454961.119548   0.999851
2454961.139982   1.000040
2454961.160417   1.000248
2454961.180851   0.999811
2454961.201286   1.000185
2454961.221721   0.999913
2454961.242155   1.000074
2454961.262590   0.999720
2454961.283023   0.999957
2454961.303458   1.000067
2454961.323893   1.000100
2454961.344327   1.000147
2454961.364762   1.000200
2454961.385196   1.000196
2454961.405630   0.999888
2454961.426065   0.999991
2454961.446499   0.999858
2454961.466934   0.999877
2454961.487368   1.000034
2454961.507803   1.000045
2454961.528237   0.999854
2454961.548671   0.999790
2454961.569106   0.999911
2454961.589541   0.999892
2454961.609975   0.999834
2454961.630409   0.999659
2454961.650843   0.999682
2454961.671278   1.000040
2454961.691713   0.999861
2454961.712147   0.999860
2454961.732581   1.000235
2454961.753016   0.999925
2454961.773449   0.999866
2454961.793885   1.000095
2454961.814319   0.999901
2454961.834754   1.000187
2454961.855188   0.999967
2454961.875622   1.000042
2454961.896057   0.999931
2454961.916491   0.999827
2454961.936926   0.999892
2454961.957360   1.000006
2454961.977794   1.000172
2454961.998229   1.000349
2454962.018664   1.000005
2454962.039098   1.000050
2454962.059532   0.999824
2454962.079967   1.000050
2454962.100401   0.999857
2454962.120836   0.999871
2454962.141271   0.999711
2454962.161704   0.999914
2454962.182139   1.000019
2454962.202573   0.999903
2454962.223007   0.999848
2454962.243443   0.999990
2454962.263877   1.000058
2454962.284311   0.999990
2454962.304745   1.000001
2454962.325180   0.999978
2454962.345614   0.999949
2454962.366049   0.999776
2454962.386484   0.999979
2454962.406917   0.999761
2454962.427352   1.000069
2454962.447786   1.000179
2454962.468221   0.999806
2454962.488656   0.999866
2454962.509090   0.999816
2454962.529524   0.999882
2454962.549958   0.999776
2454962.570393   1.000094
2454962.590828   0.999872
2454962.611262   0.999885
2454962.631697   0.999839
2454962.652130   1.000035
2454962.672565   0.999940
2454962.693000   1.000008
2454962.713434   1.000209
2454962.733869   0.999892
2454962.754303   1.000047
2454962.774738   1.000052
2454962.795172   1.000630
2454962.815607   0.999972
2454962.836041   0.999971
2454962.856475   1.000096
2454962.876910   0.999837
2454962.897344   0.999820
2454962.917779   0.995508
2454962.938213   0.993378
2454962.958647   0.993065
2454962.979082   0.992919
2454962.999516   0.993011
2454963.019951   0.992993
2454963.040385   0.993002
2454963.060820   0.993643
2454963.081254   0.996198
2454963.101688   0.999984
2454963.122123   0.999769
2454963.142557   0.999907
2454963.162992   0.999799
2454963.183426   0.999961
2454963.203861   0.999849
2454963.224295   1.000067
2454963.244729   1.000124
2454964.511666   0.999985
2454964.532100   1.000065
2454964.552535   0.999885
2454964.572969   0.999979
2454964.593404   1.000036
2454964.613838   1.000195
2454964.634272   0.999907
2454964.654707   1.000080
2454964.675141   0.999797
2454964.695576   0.999948
2454964.716010   0.999885
2454964.736445   0.999914
2454964.756879   0.999820
2454964.777313   1.000064
2454964.797748   0.999942
2454964.818182   0.999854
2454964.838617   0.999886
2454964.859051   0.999927
2454964.879486   1.000007
2454964.899920   1.000188
2454964.920355   1.000088
2454964.940789   0.999924
2454964.961223   1.000112
2454964.981658   0.999960
2454965.002092   0.999839
2454965.022527   0.999833
2454965.042961   0.999917
2454965.063396   0.999812
2454965.083830   1.000062
2454965.104264   1.000010
2454965.124699   1.000058
2454965.145133   1.000007
2454965.165568   1.000075
2454965.186002   0.999813
2454965.206437   0.999990
2454965.226871   1.000059
2454965.247305   0.999776
2454965.267740   1.000001
2454965.288174   0.999898
2454965.308609   0.999859
2454965.329043   1.000274
2454965.349478   1.000082
2454965.369912   1.000000
2454965.390346   0.999930
2454965.410781   1.000112
2454965.431215   0.999945
2454965.451650   1.000340
2454965.472084   1.000045
2454965.492519   1.000057
2454965.512953   0.999976
2454965.533387   0.999877
2454965.553822   0.999805
2454965.574256   0.999821
2454965.594691   0.999885
2454965.615125   1.000097
2454965.635560   1.000027
2454965.655994   1.000121
2454965.676429   0.999873
2454965.696863   1.000092
2454965.717297   1.000009
2454965.737732   0.999819
2454965.758166   1.000031
2454965.778601   1.000080
2454965.799035   0.999962
2454965.819470   0.999973
2454965.839904   0.999790
2454965.860338   1.000092
2454965.880773   0.999790
2454965.901207   0.999853
2454965.921642   0.999938
2454965.942076   1.000058
2454965.962511   0.999828
2454965.982945   0.999932
2454966.003380   1.000019
2454966.023814   1.000016
2454966.044248   1.000018
2454966.064683   0.999962
2454966.085117   0.999897
2454966.105552   1.000098
2454966.125986   0.999705
2454966.146421   0.999820
2454966.166855   0.999833
2454966.187289   1.000165
2454966.207724   1.000197
2454966.228158   0.999941
2454966.248593   0.999964
2454966.269027   0.999975
2454966.289462   1.000078
2454966.309896   0.999675
2454966.330330   1.000021
2454966.350765   1.000054
2454966.371199   0.999865
2454966.391634   0.999918
2454966.412068   1.000043
2454966.432503   1.000083
2454966.452937   0.999012
2454966.473371   0.994229
2454966.493806   0.993283
2454966.514240   0.993051
2454966.534675   0.992616
2454966.555109   0.992533
2454966.575544   0.992978
2454966.595978   0.993317
2454966.616413   0.993982
2454966.636847   0.998094
2454966.657282   1.000020
2454966.677716   0.999846
2454966.698150   0.999952
2454966.718585   0.999996
2454966.739019   0.999785
2454966.759454   1.000012
2454966.779888   0.999985
2454966.800322   0.999911
2454966.820757   0.999955
2454966.841191   1.000002
2454966.861626   0.999857
2454966.882060   0.999919
2454966.902495   1.000008
2454966.922929   1.000117
2454966.943364   0.999930
2454966.963798   1.000126
2454966.984232   1.000169
2454967.004667   0.999929
2454967.025101   0.999825
2454967.045536   0.999903
2454967.065970   0.999929
2454967.086405   1.000074
2454967.106839   0.999982
2454967.127273   1.000086
2454967.147708   1.000018
2454967.168142   1.000042
2454967.188577   1.000014
2454967.209011   1.000034
2454967.229446   0.999923
2454967.249880   0.999933
2454967.270314   0.999938
2454967.290749   0.999864
2454967.311183   0.999863
2454967.331618   1.000162
2454967.352052   0.999902
2454967.372487   1.000046
2454967.413356   1.000021
2454967.433790   0.999772
2454967.454224   1.000050
2454967.474659   1.000151
2454967.495093   0.999799
2454967.515528   0.999891
2454967.535962   1.000094
2454967.556396   1.000057
2454967.576831   0.999993
2454967.597265   0.999753
2454967.617700   0.999744
2454967.638134   1.000027
2454967.658569   0.999958
2454967.679003   0.999703
2454967.699438   1.000077
2454967.719872   0.999939
2454967.740307   1.000004
2454967.760741   1.000180
2454967.781175   1.000131
2454967.801610   0.999751
2454967.822044   1.000002
2454967.842479   1.000086
2454967.862913   0.999981
2454967.883348   0.999927
2454967.903782   0.999977
2454967.924216   0.999891
2454967.944651   1.000008
2454967.965085   1.000138
2454967.985520   1.000028
2454968.005954   1.000022
2454968.026389   1.000116
2454968.046823   1.000009
2454968.067257   0.999845
2454968.087692   0.999843
2454968.108126   0.999786
2454968.128561   0.999968
2454968.148995   0.999750
2454968.169430   0.999850
2454968.189864   0.999670
2454968.210298   0.999841
2454968.230733   1.000018
2454968.251167   0.999889
2454968.271602   1.000073
2454968.292036   1.000093
2454968.312471   0.999973
2454968.332905   1.000086
2454968.353339   1.000158
2454968.373774   1.000234
2454968.394208   0.999842
2454968.414643   0.999689
2454968.435077   0.999876
2454968.455512   1.000011
2454968.475946   1.000011
2454968.496381   0.999936
2454968.516815   1.000062
2454968.537249   0.999857
2454968.557684   0.999990
2454968.578118   1.000045
2454968.598553   1.000172
2454968.618987   1.000031
2454968.639422   1.000041
2454968.659856   0.999663
2454968.680291   0.999929
2454968.700725   0.999955
2454968.721159   0.999925
2454968.741594   1.000045
2454968.762028   1.000234
2454968.782463   0.999802
2454968.802897   0.999944
2454968.823332   1.000079
2454968.843766   0.999832
2454968.864200   1.000066
2454968.884635   1.000011
2454968.905069   0.999922
2454968.925504   0.999925
2454968.945938   0.999946
2454968.966373   0.999949
2454968.986807   0.999933
2454969.007241   1.000027
2454969.027676   0.999902
2454969.048110   0.999905
2454969.068545   0.999938
2454969.088979   0.999805
2454969.109414   1.000156
2454969.129848   0.999964
2454969.150282   0.999826
2454969.170717   0.999993
2454969.191151   1.000155
2454969.211586   0.999779
2454969.232020   0.999872
2454969.252455   0.999980
2454969.272889   0.999847
2454969.293323   1.000195
2454969.313758   0.999848
2454969.334192   1.000026
2454969.354627   0.999894
2454969.375061   0.999957
2454969.395496   0.999947
2454969.415930   1.000010
2454969.436365   1.000097
2454969.456799   0.999896
2454969.477233   0.999966
2454969.497668   0.999666
2454969.518102   1.000012
2454969.538537   1.000064
2454969.558971   0.999951
2454969.579406   1.000123
2454969.599840   1.000062
2454969.620274   1.000144
2454969.640709   0.999860
2454969.661143   0.999963
2454969.681578   1.000041
2454969.702012   1.000113
2454969.722447   1.000207
2454969.742881   0.999837
2454969.763316   0.999798
2454969.783750   0.999875
2454969.804184   0.999943
2454969.824619   0.999771
2454969.845053   0.999981
2454969.865488   0.999982
2454969.885922   0.999862
2454969.906357   1.000031
2454969.926791   0.999831
2454969.947225   0.999819
2454969.967660   1.000092
2454969.988094   1.000121
2454970.008529   0.997169
2454970.028963   0.993682
2454970.049398   0.993018
2454970.069832   0.992762
2454970.090266   0.992878
2454970.110701   0.992882
2454970.131135   0.992929
2454970.151570   0.993327
2454970.172004   0.994953
2454970.192439   0.999572
2454970.212873   0.999919
2454970.233308   1.000094
2454970.253742   1.000100
2454970.274176   0.999951
2454970.294611   0.999902
2454970.315045   0.999963
2454970.335480   1.000257
2454970.355914   0.999960
2454970.396783   0.999783
2454970.417217   0.999954
2454970.437652   1.000132
2454970.458086   1.000064
2454970.478521   1.000022
2454970.498955   1.000092
2454970.519390   1.000017
2454970.539824   1.000010
2454970.560259   0.999956
2454970.580693   0.999958
2454970.601127   0.999981
2454970.621562   0.999881
2454970.641996   0.999962
2454970.662431   1.000070
2454970.682865   1.000499
2454970.703300   0.999872
2454970.723734   0.999868
2454970.744168   0.999916
2454970.764603   0.999956
2454970.785037   0.999860
2454970.805472   0.999775
2454970.825906   0.999891
2454970.846341   1.000073
2454970.866775   1.000018
2454970.887209   1.000157
2454970.907644   0.999929
2454970.928078   1.000098
2454970.948513   1.000002
2454970.968947   0.999862
2454970.989382   0.999891
2454971.009816   0.999991
2454971.030250   0.999476
2454971.050685   0.999924
2454971.071119   0.999657
2454971.091554   0.999796
2454971.111988   1.000089
2454971.132423   0.999881
2454971.152857   0.999760
2454971.173291   1.000328
2454971.193726   0.999882
2454971.214160   1.000260
2454971.234595   1.000077
2454971.255029   0.999798
2454971.275464   0.999989
2454971.295898   1.000029
2454971.316333   1.000151
2454971.336767   1.000062
2454971.357202   1.000205
2454971.377636   0.999860
2454971.398070   0.999756
2454971.418505   0.999945
2454971.438939   0.999799
2454971.459374   0.999961
2454971.479808   0.999912
2454971.500243   1.000071
2454971.520677   0.999930
2454971.541111   0.999877
2454971.561546   1.000065
2454971.581980   1.000014
2454971.602415   0.999954
2454971.622849   0.999872
2454971.643284   1.000025
2454971.663718   1.000065
2454971.684152   0.999757
2454971.704587   0.999976
2454971.725021   1.000242
2454971.745456   1.000413
2454971.765890   1.000080
2454971.786325   0.999916
2454971.806759   1.000175
2454971.827193   0.999915
2454971.847628   0.999877
2454971.868062   0.999940
2454971.888497   0.999939
2454971.908931   0.999976
2454971.929366   1.000090
2454971.949800   1.000046
2454971.970234   0.999813
2454971.990669   0.999833
2454972.011103   1.000084
2454972.031538   0.999670
2454972.051972   1.000163
2454972.072407   0.999931
2454972.092841   0.999911
2454972.113276   0.999932
2454972.133710   0.999984
2454972.154144   0.999887
2454972.174579   0.999821
2454972.195013   1.000186
2454972.215448   0.999956
2454972.235882   1.000062
2454972.256317   0.999956
2454972.276751   1.000092
2454972.297185   1.000141
2454972.317620   0.999932
2454972.338054   1.000124
2454972.358489   1.000037
2454972.378923   0.999934
2454972.399358   0.999733
2454972.419792   1.000013
2454972.440227   0.999895
2454972.460661   1.000016
2454972.481095   1.000087
2454972.501530   0.999920
2454972.521964   0.999861
2454972.542399   0.999900
2454972.562833   0.999973
2454972.583268   0.999729
2454972.603702   1.000048
2454972.624136   0.999994
2454972.644571   0.999979
2454972.665005   0.999927
2454972.685440   0.999800
2454972.705874   1.000163
2454972.726309   0.999945
2454972.746743   0.999927
2454972.767177   0.999897
2454972.787612   0.999746
2454972.808046   0.999831
2454972.828481   1.000028
2454972.848915   1.000175
2454972.869350   0.999755
2454972.889784   1.000041
2454972.910218   1.000016
2454972.930653   0.999851
2454972.951087   0.999945
2454972.971522   0.999957
2454972.991956   1.000099
2454973.012391   1.000048
2454973.032825   1.000119
2454973.053260   1.000036
2454973.073694   0.999901
2454973.094128   0.999917
2454973.114563   1.000111
2454973.134997   0.999826
2454973.155432   1.000067
2454973.175866   0.999901
2454973.196301   0.999966
2454973.216735   0.999827
2454973.237169   1.000002
2454973.257604   1.000179
2454973.278038   1.000051
2454973.298473   0.999916
2454973.318907   1.000204
2454973.339342   1.000054
2454973.380210   0.999841
2454973.400645   0.999836
2454973.421079   0.999903
2454973.441514   0.999966
2454973.461948   0.999778
2454973.482383   0.999941
2454973.502817   0.999786
2454973.523251   0.999891
2454973.543686   0.999885
2454973.564120   0.995581
2454973.584555   0.993684
2454973.604989   0.993169
2454973.625424   0.992916
2454973.645858   0.992646
2454973.666292   0.992879
2454973.686727   0.993026
2454973.707161   0.993703
2454973.727596   0.996469
2454973.748030   1.000175
2454973.768465   1.000101
2454973.788899   1.000076
2454973.809334   1.000051
2454973.829768   0.999949
2454973.850203   1.000068
2454973.870637   1.000019
2454973.891071   1.000328
2454973.911506   1.000136
2454973.931940   0.999947
2454973.952375   0.999889
2454973.972809   1.000069
2454973.993243   0.999843
2454974.013678   1.000020
2454974.034112   1.000045
2454974.054547   1.000081
2454974.074981   1.000147
2454974.095416   0.999911
2454974.115850   1.000130
2454974.136285   0.999799
2454974.156719   1.000046
2454974.177153   1.000111
2454974.197588   0.999934
2454974.218022   0.999735
2454974.238457   0.999892
2454974.258891   0.999846
2454974.279326   0.999957
2454974.299760   0.999929
2454974.320194   0.999708
2454974.340629   1.000011
2454974.361063   0.999718
2454974.381498   0.999986
2454974.401932   0.999854
2454974.422367   1.000105
2454974.442801   0.999753
2454974.463235   1.000128
2454974.483670   0.999809
2454974.504104   1.000044
2454974.524539   0.999904
2454974.544973   1.000057
2454974.565408   1.000093
2454974.585842   0.999906
2454974.606277   0.999900
2454974.626711   0.999795
2454974.647145   0.999851
2454974.667580   0.999761
2454974.688014   1.000017
2454974.708449   0.999985
2454974.728883   0.999997
2454974.749318   1.000091
2454974.769752   0.999943
2454974.790186   1.000026
2454974.810621   1.000269
2454974.831055   0.999801
2454974.851490   1.000046
2454974.871924   0.999910
2454974.892359   1.000083
2454974.912793   0.999820
2454974.933228   0.999989
2454974.953662   0.999877
2454974.974096   1.000035
2454974.994531   0.999940
2454975.014965   1.000210
2454975.035400   1.000204
2454975.055834   1.000087
2454975.076269   0.999858
2454975.096703   1.000022
2454975.117137   1.000118
2454975.137572   0.999879
2454975.158006   0.999871
2454975.178441   0.999961
2454975.198875   0.999905
2454975.219310   1.000039
2454975.239744   1.000057
2454975.260178   1.000016
2454975.280613   1.000204
2454975.301047   0.999882
2454975.321482   0.999937
2454975.341916   0.999962
2454975.362351   0.999806
2454975.382785   0.999863
2454975.403219   0.999897
2454975.423654   1.000167
2454975.444088   0.999805
2454975.464523   1.000202
2454975.484957   0.999715
2454975.505392   0.999980
2454975.525826   0.999922
2454975.546261   0.999996
2454975.566695   0.999963
2454975.587129   0.999914
2454975.607564   0.999999
2454975.627998   0.999672
2454975.648433   1.000056
2454975.668867   1.000062
2454975.689302   1.000270
2454975.709736   0.999951
2454975.730170   0.999911
2454975.750605   0.999921
2454975.771039   0.999957
2454975.791474   0.999885
2454975.811908   0.999982
2454975.832343   1.000018
2454975.852777   1.000312
2454975.873212   0.999966
2454975.893646   0.999988
2454975.914080   0.999955
2454975.934515   1.000119
2454975.954949   0.999711
2454975.975384   0.999895
2454975.995818   0.999952
2454976.016253   0.999850
2454976.036687   0.999852
2454976.057121   0.999922
2454976.077556   0.999961
2454976.097990   0.999852
2454976.118425   0.999971
2454976.138859   0.999850
2454976.159294   1.000000
2454976.179728   0.999877
2454976.200162   1.000227
2454976.220597   1.000023
2454976.241031   0.999904
2454976.261466   1.000078
2454976.281900   0.999980
2454976.302335   0.999874
2454976.322769   0.999609
2454976.363638   0.999912
2454976.384072   0.999867
2454976.404507   0.999986
2454976.424941   1.000030
2454976.445376   1.000181
2454976.465810   1.000205
2454976.486244   0.999949
2454976.506679   0.999934
2454976.527113   0.999954
2454976.547548   1.000014
2454976.567982   0.999925
2454976.588417   0.999786
2454976.608851   0.999909
2454976.629286   0.999988
2454976.649720   1.000082
2454976.670155   0.999950
2454976.690589   1.000031
2454976.711023   1.000016
2454976.731458   0.999746
2454976.751892   0.999910
2454976.772327   0.999955
2454976.792761   1.000008
2454976.813195   0.999988
2454976.833630   0.999934
2454976.854064   0.999913
2454976.874499   1.000127
2454976.894933   0.999956
2454976.915368   0.999940
2454976.935802   0.999982
2454976.956237   0.999943
2454976.976671   0.999855
2454976.997105   1.000153
2454977.017540   1.000102
2454977.037974   0.999866
2454977.058409   0.999934
2454977.078843   0.999998
2454977.099278   0.998524
